combination_id,sampling_rates_mhz,num_rates,sum_sampling_rate_mhz,max_sampling_rate_mhz,gcd_mhz,lcm_mhz,temporal_period_mhz,temporal_unique_coverage,joint_unique_coverage,spatial_absolute_gain,resolve_rate_among_temporal_ambiguous,mean_temporal_candidates,median_temporal_candidates,p90_temporal_candidates,p95_temporal_candidates,max_temporal_candidates,mean_joint_candidates,median_joint_candidates,p90_joint_candidates,p95_joint_candidates,max_joint_candidates,mean_candidate_reduction,median_candidate_reduction,p10_candidate_reduction,p90_candidate_reduction,temporal_margin_min,temporal_margin_p05,temporal_margin_p10,temporal_margin_median,temporal_margin_mean,joint_margin_min,joint_margin_p05,joint_margin_p10,joint_margin_median,joint_margin_mean,broadside_joint_coverage,off_broadside_joint_coverage,runtime_seconds,status,category,is_pareto_optimal
r_25_32_40_96,25+32+40+96,4,193,96,1,2400,2400,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07967217989988726,0.07967217989988726,0.07967217989988726,0.07967217989988726,0.08665038679992597,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.07071067811865477,0.0674317284415184,1.0,1.0,0.15842989995144308,ok,C,False
r_25_40_48_80,25+40+48+80,4,193,80,1,1200,1200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08715208609729955,0.08715208609729955,0.08715208609729955,0.08715208609729955,0.08715208609729955,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.06329282551723722,0.0662872458608159,1.0,1.0,0.13831209996715188,ok,C,False
r_25_45_48_75,25+45+48+75,4,193,75,1,3600,3600,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.03125,0.06507239391853266,0.021114881390733527,0.022581336229440842,0.024472711977315563,0.06892363674317971,0.06353505732869327,1.0,1.0,0.14922630006913096,ok,C,False
r_30_32_35_96,30+32+35+96,4,193,96,1,3360,3360,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0849453459911463,0.0849453459911463,0.0849453459911463,0.0849453459911463,0.08494534599114632,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.06205665992478141,0.06426419253202449,1.0,1.0,0.13920299999881536,ok,C,False
r_30_35_48_80,30+35+48+80,4,193,80,1,1680,1680,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857141,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.052517038616684955,0.05495252226498882,1.0,1.0,0.14983100001700222,ok,C,False
r_30_40_48_75,30+40+48+75,4,193,75,1,1200,1200,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.07102376137857827,0.0663461344689947,1.0,1.0,0.14812869997695088,ok,C,False
r_35_48_50_60,35+48+50+60,4,193,60,1,8400,8400,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08335937093226066,0.08335937093226066,0.08335937093226066,0.08335937093226066,0.08335937093226066,0.021114881390733527,0.03589085701077631,0.0423484591571275,0.06003355175371449,0.05967101057336133,1.0,1.0,0.14315129991155118,ok,C,False
r_40_45_48_60,40+45+48+60,4,193,60,1,720,720,0.43283582089552236,0.6277628252181714,0.19492700432264903,0.3436870865688812,1.5671641791044777,2.0,2.0,2.0,2.0,1.3722371747818285,1.0,2.0,2.0,2.0,0.1718435432844406,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.04629816876261728,0.0,0.005753638716887806,0.013257457930468432,0.07440767979515182,0.05637535622785975,0.43283582089552236,0.6706467661691542,0.1584030999802053,ok,D,False
r_30_64_100,30+64+100,3,194,100,2,4800,4800,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03608439182435161,0.03608439182435161,0.03608439182435161,0.060488463087324904,0.0556674748614962,0.021114881390733527,0.029070507826796158,0.03694605319259984,0.05147914956396342,0.05398114002983779,1.0,1.0,0.1414814000017941,ok,C,False
r_48_50_96,48+50+96,3,194,96,2,2400,2400,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.053791435363991905,0.053791435363991905,0.053791435363991905,0.053791435363991905,0.053791435363991905,0.021114881390733527,0.03589085701077631,0.03804077281035292,0.040416143468902245,0.04225240904870842,1.0,1.0,0.14498379989527166,ok,C,False
