sampling_rates_mhz,frequency_hz,true_angle_deg,music_angle_deg,esprit_angle_deg,music_error_deg,esprit_error_deg,status
200+250+300,500000000,30,30.000007449695858,29.999999999999964,7.449695857530969e-06,-3.552713678800501e-14,ok
200+250+300,500000000,45,45.00001309972029,45.00000000000003,1.3099720291620542e-05,2.842170943040401e-14,ok
200+250+300,500000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
200+250+300,800000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
200+250+300,800000000,-45,-45.00001265299268,-44.99999999999999,-1.26529926802732e-05,7.105427357601002e-15,ok
200+250+300,800000000,-30,-30.000007199221496,-29.999999999999993,-7.199221496279051e-06,7.105427357601002e-15,ok
200+250+300,800000000,-10,-10.000002178641482,-9.999999999999996,-2.178641482331045e-06,3.552713678800501e-15,ok
200+250+300,800000000,0,8.22501950852893e-13,-0.0,8.22501950852893e-13,-0.0,ok
200+250+300,800000000,10,10.000002178643127,9.999999999999996,2.1786431272374784e-06,-3.552713678800501e-15,ok
200+250+300,800000000,30,30.00000719922314,29.999999999999993,7.1992231411854846e-06,-7.105427357601002e-15,ok
200+250+300,800000000,45,45.00001265299432,44.99999999999999,1.265299432162692e-05,-7.105427357601002e-15,ok
200+250+300,800000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
200+250+300,1000000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
200+250+300,1000000000,-45,-45.00001245123328,-45.00000000000001,-1.2451233281751684e-05,-7.105427357601002e-15,ok
200+250+300,1000000000,-30,-30.000007085968356,-29.999999999999993,-7.085968356079775e-06,7.105427357601002e-15,ok
200+250+300,1000000000,-10,-10.00000214465054,-10.000000000000005,-2.1446505407141103e-06,-5.329070518200751e-15,ok
200+250+300,1000000000,0,8.229733917277038e-13,-0.0,8.229733917277038e-13,-0.0,ok
200+250+300,1000000000,10,10.000002144652186,10.000000000000005,2.1446521856205436e-06,5.329070518200751e-15,ok
200+250+300,1000000000,30,30.00000708597,29.999999999999993,7.085970000986208e-06,-7.105427357601002e-15,ok
200+250+300,1000000000,45,45.00001245123492,45.00000000000001,1.2451234923105403e-05,7.105427357601002e-15,ok
200+250+300,1000000000,60,60.000000000001705,59.99999999999999,1.7053025658242404e-12,-7.105427357601002e-15,ok
200+250+300,1300000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
