sampling_rates_mhz,frequency_hz,angle_deg,snr_db,observation_duration_s,snapshots_by_branch,sum_sampling_rate_mhz,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate
35+75,800000000.0,30.0,0.0,5e-06,175+375,110,MUSIC,-0.031609343340207374,0.031609343340207374,0.031609343340207374,0.031609343340207374,0.031609343340207374,0.031609343340207374,1.0,1.0,0.0,0.0
35+75,800000000.0,30.0,0.0,1e-05,350+750,110,MUSIC,0.15273789802366977,0.15273789802366977,0.15273789802366977,0.15273789802366977,0.15273789802366977,0.15273789802366977,1.0,1.0,0.0,0.0
25+32,800000000.0,30.0,0.0,1e-06,25+32,57,MUSIC,-1.0166427767781165,1.0166427767781165,1.0166427767781165,1.0166427767781165,1.0166427767781165,1.0166427767781165,0.0,1.0,0.0,0.0
25+32,800000000.0,30.0,0.0,2e-06,50+64,57,MUSIC,-0.1465435872024301,0.1465435872024301,0.1465435872024301,0.1465435872024301,0.1465435872024301,0.1465435872024301,1.0,1.0,0.0,0.0
25+32,800000000.0,30.0,0.0,5e-06,125+160,57,MUSIC,0.08882519071834238,0.08882519071834238,0.08882519071834238,0.08882519071834238,0.08882519071834238,0.08882519071834238,1.0,1.0,0.0,0.0
25+32,800000000.0,30.0,0.0,1e-05,250+320,57,MUSIC,-0.07456376789273733,0.07456376789273733,0.07456376789273733,0.07456376789273733,0.07456376789273733,0.07456376789273733,1.0,1.0,0.0,0.0
200+250+300,800000000.0,30.0,0.0,1e-06,200+250+300,750,MUSIC,0.060843117359901555,0.060843117359901555,0.060843117359901555,0.060843117359901555,0.060843117359901555,0.060843117359901555,1.0,1.0,0.0,0.0
200+250+300,800000000.0,30.0,0.0,2e-06,400+500+600,750,MUSIC,-0.09656410760441503,0.09656410760441503,0.09656410760441503,0.09656410760441503,0.09656410760441503,0.09656410760441503,1.0,1.0,0.0,0.0
200+250+300,800000000.0,30.0,0.0,5e-06,1000+1250+1500,750,MUSIC,0.017696018857119356,0.017696018857119356,0.017696018857119356,0.017696018857119356,0.017696018857119356,0.017696018857119356,1.0,1.0,0.0,0.0
200+250+300,800000000.0,30.0,0.0,1e-05,2000+2500+3000,750,MUSIC,-0.04727861595293703,0.04727861595293703,0.04727861595293703,0.04727861595293703,0.04727861595293703,0.04727861595293703,1.0,1.0,0.0,0.0
