true_frequency_hz,assumed_frequency_hz,absolute_frequency_error_hz,relative_frequency_error,true_angle_deg,predicted_angle_deg,estimated_angle_deg,prediction_error_deg,aoa_error_deg,is_physically_feasible,used_alias_frequency,sampling_rate_hz,sampling_rates_mhz
300000000,320000000,20000000,0.06666666666666667,-10,-9.369175088695291,-9.391653674314748,-0.02247858561945648,0.6083463256852522,True,False,,32+35
300000000,12000000.0,-288000000.0,-0.96,-10,nan,-60.0,nan,-50.0,False,True,32000000.0,32+35
300000000,-15000000.0,-315000000.0,-1.05,-10,nan,60.000000000001705,nan,70.0000000000017,False,True,35000000.0,32+35
300000000,280000000,-20000000,-0.06666666666666667,0,0.0,8.200823553089476e-13,8.200823553089476e-13,8.200823553089476e-13,True,False,,32+35
300000000,290000000,-10000000,-0.03333333333333333,0,0.0,8.201728145923288e-13,8.201728145923288e-13,8.201728145923288e-13,True,False,,32+35
300000000,295000000,-5000000,-0.016666666666666666,0,0.0,8.202150599319174e-13,8.202150599319174e-13,8.202150599319174e-13,True,False,,32+35
300000000,298000000,-2000000,-0.006666666666666667,0,0.0,8.202366365181158e-13,8.202366365181158e-13,8.202366365181158e-13,True,False,,32+35
300000000,299000000,-1000000,-0.0033333333333333335,0,0.0,8.202482664953852e-13,8.202482664953852e-13,8.202482664953852e-13,True,False,,32+35
300000000,299500000,-500000,-0.0016666666666666668,0,0.0,8.202490060673527e-13,8.202490060673527e-13,8.202490060673527e-13,True,False,,32+35
300000000,299900000,-100000,-0.0003333333333333333,0,0.0,8.202522925631448e-13,8.202522925631448e-13,8.202522925631448e-13,True,False,,32+35
300000000,300000000,0,0.0,0,0.0,8.202564882074214e-13,8.202564882074214e-13,8.202564882074214e-13,True,False,,32+35
300000000,300100000,100000,0.0003333333333333333,0,0.0,8.202539339179055e-13,8.202539339179055e-13,8.202539339179055e-13,True,False,,32+35
300000000,300500000,500000,0.0016666666666666668,0,0.0,8.202572128502403e-13,8.202572128502403e-13,8.202572128502403e-13,True,False,,32+35
300000000,301000000,1000000,0.0033333333333333335,0,0.0,8.202613044520972e-13,8.202613044520972e-13,8.202613044520972e-13,True,False,,32+35
300000000,302000000,2000000,0.006666666666666667,0,0.0,8.202694642174664e-13,8.202694642174664e-13,8.202694642174664e-13,True,False,,32+35
300000000,305000000,5000000,0.016666666666666666,0,0.0,8.202971285812328e-13,8.202971285812328e-13,8.202971285812328e-13,True,False,,32+35
300000000,310000000,10000000,0.03333333333333333,0,0.0,8.203336422945505e-13,8.203336422945505e-13,8.203336422945505e-13,True,False,,32+35
300000000,320000000,20000000,0.06666666666666667,0,0.0,8.204112336655478e-13,8.204112336655478e-13,8.204112336655478e-13,True,False,,32+35
300000000,12000000.0,-288000000.0,-0.96,0,0.0,8.097616946735606e-13,8.097616946735606e-13,8.097616946735606e-13,True,True,32000000.0,32+35
300000000,-15000000.0,-315000000.0,-1.05,0,-0.0,8.107077478821115e-13,8.107077478821115e-13,8.107077478821115e-13,True,True,35000000.0,32+35
300000000,280000000,-20000000,-0.06666666666666667,10,10.72245024224751,10.752789068357934,0.030338826110424932,0.7527890683579344,True,False,,32+35
300000000,290000000,-10000000,-0.03333333333333333,10,10.348561230269015,10.380148171424425,0.031586941155410386,0.38014817142442503,True,False,,32+35
300000000,295000000,-5000000,-0.016666666666666666,10,10.171279155957968,10.192524959497627,0.021245803539658326,0.19252495949762682,True,False,,32+35
300000000,298000000,-2000000,-0.006666666666666667,10,10.067811063366563,10.034622329165074,-0.033188734201488046,0.03462232916507446,True,False,,32+35
300000000,299000000,-1000000,-0.0033333333333333335,10,10.033790360245394,10.009689739034101,-0.02410062121129286,0.009689739034101308,True,False,,32+35
300000000,299500000,-500000,-0.0016666666666666668,10,10.01686653449422,10.003435652099425,-0.013430882394795063,0.0034356520994247575,True,False,,32+35
300000000,299900000,-100000,-0.0003333333333333333,10,10.003368737640553,10.000420039258515,-0.0029486983820383728,0.0004200392585147483,True,False,,32+35
300000000,300000000,0,0.0,10,10.0,10.00000234140051,2.341400509919822e-06,2.341400509919822e-06,True,False,,32+35
