sampling_rates_mhz,frequency_hz,angle_deg,snr_db,snapshots_per_branch,num_branches,total_snapshots,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate,crb_rmse_deg,runtime_seconds
32+35,300000000.0,50,0,32,2,64,ESPRIT,-1.0126147824456233,2.2770455512110637,2.8180530734794,2.0103642613075863,4.888868288740198,5.088818450191165,0.3,0.5,0.1,0.0,1.6768635730152757,0.000502900001265516
32+35,300000000.0,50,0,128,2,256,MUSIC,0.21234512257630483,0.4607655407019493,0.5380135127733902,0.3880606087623093,0.8133198734486924,0.9322196346365321,0.9,1.0,0.0,0.0,0.8384317865076378,0.06949140000051557
32+35,300000000.0,50,0,128,2,256,ESPRIT,0.18677941157760145,0.6955616135860574,0.8084450089718851,0.7719958338406023,1.1368962377425866,1.217560081779412,0.7,1.0,0.0,0.0,0.8384317865076378,0.0004535000016403501
32+35,300000000.0,50,0,512,2,1024,MUSIC,0.25070718173857925,0.4298679194261695,0.5578633495972496,0.28770124810261066,0.9479373898425016,1.00185746420296,0.9,1.0,0.0,0.0,0.4192158932538189,0.07534349999878032
32+35,300000000.0,50,0,512,2,1024,ESPRIT,0.15625442011419893,0.47928745149649077,0.5875921624470707,0.5227597332404414,0.847519426961204,0.8811161813409061,1.0,1.0,0.0,0.0,0.4192158932538189,0.0004659999985960894
32+35,300000000.0,50,10,32,2,64,MUSIC,0.10851537173709361,0.4709272170668363,0.5782701564247104,0.38632852039742716,0.952442994946027,0.9539108224005914,1.0,1.0,0.0,0.0,0.5302708216096333,0.0757804999993823
32+35,300000000.0,50,10,32,2,64,ESPRIT,-0.22977159555968357,0.6800181547440068,0.801484051667931,0.6565418825153841,1.3316310307197547,1.3416578088886513,0.8,1.0,0.0,0.0,0.5302708216096333,0.0004759999983434682
32+35,300000000.0,50,10,128,2,256,MUSIC,0.07448598184732447,0.1534768257517655,0.1868616101662867,0.12916548071581957,0.2529023772597852,0.3364501967123159,1.0,1.0,0.0,0.0,0.2651354108048167,0.0701956999992035
32+35,300000000.0,50,10,128,2,256,ESPRIT,0.03371438238124398,0.2530637675191585,0.2903517307360054,0.233694037717882,0.4412381988230635,0.45895626181516314,1.0,1.0,0.0,0.0,0.2651354108048167,0.00043740000000980217
32+35,300000000.0,50,10,512,2,1024,MUSIC,0.0742278541485291,0.1295990887662896,0.1591519821914985,0.12229013234242103,0.2510197168820717,0.2775776967507052,1.0,1.0,0.0,0.0,0.13256770540240834,0.062034299999140785
32+35,300000000.0,50,10,512,2,1024,ESPRIT,0.04033359030723247,0.13909702084372455,0.1641711458055679,0.15869035870856507,0.2454973427300658,0.24563258716602335,1.0,1.0,0.0,0.0,0.13256770540240834,0.0004137999994782149
32+35,300000000.0,50,20,32,2,64,MUSIC,0.039005544227377696,0.14880800897365845,0.18091458256844248,0.12452188994360114,0.29782065107826555,0.3000884173384385,1.0,1.0,0.0,0.0,0.1676863573015276,0.06655170000067301
32+35,300000000.0,50,20,32,2,64,ESPRIT,-0.06197651662607697,0.20911610007859097,0.2421943298302297,0.2102134143407426,0.37966285004255623,0.3886624171194267,1.0,1.0,0.0,0.0,0.1676863573015276,0.0004374000018287916
32+35,300000000.0,50,20,128,2,256,MUSIC,0.02461145388139698,0.04912326555339064,0.06141003036650662,0.03621312057792636,0.08076069178705862,0.11037342026946952,1.0,1.0,0.0,0.0,0.0838431786507638,0.07418569999936153
32+35,300000000.0,50,20,128,2,256,ESPRIT,0.007579610210009946,0.08334765133453459,0.09616089215045426,0.07206859067558113,0.1485532149432174,0.15415026596298131,1.0,1.0,0.0,0.0,0.0838431786507638,0.0005543000015677535
