sampling_rates_mhz,frequency_hz,angle_deg,snr_db,snapshots_per_branch,num_branches,total_snapshots,method,bias_deg,mae_deg,rmse_deg,median_abs_error_deg,p90_abs_error_deg,p95_abs_error_deg,success_rate_1deg,success_rate_2deg,catastrophic_rate_5deg,invalid_rate
Nyquist_3000,300000000.0,10,10,128,1,128,MUSIC,0.11568929528414315,0.2274339658173119,0.27442960478618905,0.21252006210132812,0.36198799219289457,0.4743394836153989,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,10,20,128,1,128,MUSIC,0.03324428138212596,0.06571413211652519,0.08218967252177674,0.05723414199071364,0.11425604721585675,0.14748655475846892,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,50,-10,128,1,128,MUSIC,0.5924783723926744,6.0866737596761205,7.026391160746492,6.797786635707691,9.650933323257892,9.825466661629799,0.1,0.2,0.6,0.0
Nyquist_3000,300000000.0,50,0,128,1,128,MUSIC,-0.2951180195910851,1.447266470320092,1.638243085572481,1.3050343205232977,2.2811015086635846,2.6101369609505563,0.3,0.7,0.0,0.0
Nyquist_3000,300000000.0,50,10,128,1,128,MUSIC,-0.10986276682552756,0.41819183822975814,0.48043911174922804,0.4219016593038276,0.6622331262622366,0.7692544218444117,1.0,1.0,0.0,0.0
Nyquist_3000,300000000.0,50,20,128,1,128,MUSIC,-0.03580261201119157,0.12781108206039135,0.14838994586490167,0.13911058075478522,0.20600126596838916,0.23561685478966504,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,-50,-10,128,1,128,MUSIC,-0.6008311366694009,1.7302224603802252,2.5001834827399922,1.120484930400341,2.9931668441665544,4.783188595510677,0.5,0.7,0.1,0.0
Nyquist_3000,800000000.0,-50,0,128,1,128,MUSIC,0.019304268199474707,0.282062144825067,0.3562535861195194,0.22619663490640463,0.5376948047161384,0.6184202765159016,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,-50,10,128,1,128,MUSIC,0.016298661367383005,0.07984414846453447,0.09935118358773115,0.07336534223447089,0.16092237859187364,0.17365155833613774,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,-50,20,128,1,128,MUSIC,0.002858279871718139,0.016938962527635226,0.021589351136471504,0.01646553236809467,0.03138897032223084,0.03913130790386424,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,-10,-10,128,1,128,MUSIC,-0.2155866101231778,0.7811839640886517,0.9250291562125141,0.7728358548977523,1.3151717251016075,1.356794698791059,0.6,1.0,0.0,0.0
Nyquist_3000,800000000.0,-10,0,128,1,128,MUSIC,-0.08172366813164907,0.17257615504489898,0.21292141167637266,0.14613310153537284,0.3081006419149302,0.36675376104522706,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,-10,10,128,1,128,MUSIC,-0.022263009689510938,0.045963017621432914,0.06371311932441655,0.02601093879395222,0.08410198418465115,0.12287610738335014,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,-10,20,128,1,128,MUSIC,-0.0038162580961891733,0.00825820659887846,0.011899442959340456,0.0051393609044696476,0.013126971033333127,0.022657405214960645,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,0,-10,128,1,128,MUSIC,0.38807046869331396,1.1844265894155284,1.52542359022898,1.0733050713900023,2.4493028379169086,2.8134560747102175,0.4,0.8,0.0,0.0
Nyquist_3000,800000000.0,0,0,128,1,128,MUSIC,0.023795709343065213,0.23396849640249967,0.2858933450713229,0.1441649014405806,0.44737926133679984,0.5351885559375593,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,0,10,128,1,128,MUSIC,-0.002739242897190747,0.06886065743560807,0.08970332941278931,0.05159999888724081,0.1655462876368929,0.18068143373138504,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,0,20,128,1,128,MUSIC,-0.0010208418634719356,0.012852824688978675,0.01745102531763187,0.009984787647192659,0.029677611808909887,0.0353099857026536,1.0,1.0,0.0,0.0
Nyquist_3000,800000000.0,10,-10,128,1,128,MUSIC,0.20978758436939254,1.0580637622190516,1.209900273986314,1.1034857993976344,1.6494297002233793,1.913828566360222,0.5,0.9,0.0,0.0
Nyquist_3000,800000000.0,10,0,128,1,128,MUSIC,-0.010322789751737282,0.24246237649273628,0.2725635314396668,0.2027885216986265,0.37781541831274634,0.4432474449218126,1.0,1.0,0.0,0.0
